iframe,domain_age,longest_words_raw,nb_hyperlinks,links_in_tags,tld_in_subdomain,ratio_digits_url,ratio_extRedirection,char_repeat,nb_dots,ratio_extErrors,ratio_extHyperlinks,nb_eq,length_url,google_index,ip,domain_in_title,ratio_digits_host,phish_hints,page_rank,length_hostname,login_form,longest_word_path,avg_word_path,nb_slash,empty_title,ratio_intHyperlinks,safe_anchor,avg_word_host,web_traffic,nb_www,shortest_word_host,nb_qm,prefix_suffix,status
0,6678,12,143,73.91304348,0,0.1086956519999999,0.0,3,3,0.0,0.06993007,1,46,0,0,1,0.0,0,5,20,0,5,3.75,3,0,0.93006993,77.77777778,7.5,78526,1,3,1,0,1
0,65,35,0,0.0,0,0.0546875,0.0,6,10,0.0,0.0,0,128,1,0,1,0.058333333,2,0,120,0,0,0.0,3,1,0.0,0.0,10.7,0,0,2,0,0,1
0,1707,17,3,100.0,0,0.0,0.0,5,3,0.0,0.0,0,52,1,0,1,0.0,0,0,25,0,9,5.666666667,4,0,1.0,0.0,10.0,0,1,3,0,0,1
0,1331,5,404,100.0,0,0.142857143,0.133333333,3,2,0.0,0.037128713,0,21,0,0,1,0.230769231,0,0,13,0,0,0.0,3,0,0.962871287,82.53968254,4.0,0,1,3,0,0,0
0,1662,11,57,55.55555556,0,0.0,0.0,3,2,0.0,0.3157894739999999,0,28,0,0,0,0.0,0,4,19,0,0,0.0,3,0,0.684210526,81.08108108,7.0,312044,1,3,0,0,0
0,3993,17,51,100.0,1,0.1171875,0.0,4,4,0.0,0.0,3,128,1,1,1,0.0,0,0,50,0,17,7.375,5,0,1.0,100.0,8.4,5707171,0,3,1,1,1
0,7330,9,0,0.0,0,0.0,0.0,3,2,0.0,0.0,1,50,0,0,1,0.0,0,4,15,0,9,5.5,5,0,0.0,0.0,5.0,154708,1,3,1,0,1
0,-1,7,4,100.0,0,0.0,0.0,2,5,0.0,0.0,0,51,1,0,1,0.0,3,0,14,0,7,5.0,4,0,1.0,100.0,7.0,0,0,7,0,0,1
0,5046,14,115,66.66666667,0,0.0,0.142857143,3,2,0.142857143,0.060869565,0,35,0,0,0,0.0,0,5,22,0,4,4.0,4,0,0.939130435,64.28571429,8.5,379,1,3,0,0,0
0,3505,8,99,0.0,0,0.0,0.46031746,3,2,0.174603175,0.636363636,0,22,0,0,1,0.0,0,2,15,0,0,0.0,2,0,0.363636364,6.451612902999999,5.5,0,1,3,0,0,0
0,-1,8,151,17.39130435,0,0.0,0.033333333,3,3,0.108333333,0.794701987,0,57,1,0,1,0.0,3,0,14,1,8,4.833333333,7,0,0.205298013,46.66666667,5.0,0,1,3,0,1,1
0,-1,9,70,0.0,0,0.0,0.0,3,2,0.0,0.114285714,0,39,0,0,1,0.0,0,2,30,0,0,0.0,3,0,0.8857142859999999,75.0,6.0,0,1,3,0,0,0
0,-1,11,0,0.0,0,0.0,0.0,0,3,0.0,0.0,0,44,1,0,1,0.0,0,0,18,0,7,5.333333333,4,1,0.0,0.0,11.0,0,0,11,0,0,1
0,7295,8,14,0.0,0,0.035714286,0.846153846,0,2,0.615384615,0.928571429,0,28,1,0,1,0.047619048,0,5,21,0,0,0.0,2,0,0.071428571,14.28571429,8.0,0,0,8,0,0,1
0,5640,24,39,70.58823529,0,0.071428571,0.0,4,2,0.0,0.435897436,0,56,1,0,1,0.0,0,10,15,0,24,15.5,4,1,0.564102564,0.0,5.0,2,1,3,0,0,0
0,8019,46,26,7.692307692000001,0,0.1,0.0,1,2,0.086956522,0.884615385,1,110,1,0,1,0.0,0,4,30,0,46,10.66666667,6,0,0.115384615,0.0,8.0,0,0,2,1,1,1
0,8147,9,164,30.95238095,0,0.0,0.13559322,3,3,0.644067797,0.3597560979999999,0,40,0,0,0,0.0,0,6,17,0,4,3.0,5,0,0.640243902,80.0,6.0,12601,1,3,0,0,0
0,5826,9,71,95.23809524,0,0.0806451609999999,0.166666667,6,2,0.0,0.0845070419999999,0,62,0,0,1,0.0,0,5,16,0,9,5.166666667,7,0,0.915492958,0.0,5.5,34738,1,3,0,0,0
0,5132,9,101,18.75,0,0.0161290319999999,0.153846154,5,2,0.192307692,0.514851485,0,62,0,0,1,0.0,0,7,17,1,7,4.285714286,5,0,0.485148515,63.33333333,6.0,1310,1,3,0,0,0
0,5,15,72,100.0,0,0.0,0.057692308,0,2,0.0384615379999999,0.7222222220000001,0,69,1,0,1,0.0,1,0,20,1,15,7.4,6,0,0.277777778,0.0,7.5,0,0,3,0,1,1
0,5001,8,49,68.75,0,0.0,0.0,3,2,0.0,0.285714286,0,24,0,0,1,0.0,0,3,16,0,0,0.0,3,0,0.7142857140000001,0.0,5.5,0,1,3,0,0,0
0,199,12,0,0.0,0,0.222222222,0.0,0,2,0.0,0.0,0,45,0,1,1,0.0,0,0,10,0,12,8.333333332999999,4,0,0.0,0.0,3.0,0,0,3,0,1,1
0,6140,10,308,83.33333333,0,0.0,0.0,4,2,0.0,0.103896104,0,26,0,0,0,0.0,0,3,17,0,0,0.0,3,0,0.896103896,26.92307692,6.5,1177815,1,3,0,0,0
0,3494,16,23,0.0,0,0.0,0.0,3,2,0.071428571,0.608695652,0,33,0,0,1,0.0,0,3,24,1,0,0.0,3,0,0.3913043479999999,60.0,9.5,3399200,1,3,0,0,0
0,5161,9,24,50.0,0,0.0,0.0,1,2,0.0,0.25,0,36,0,0,1,0.0,0,8,29,0,0,0.0,2,0,0.75,0.0,7.666666667,0,0,6,0,0,0
0,-1,8,0,0.0,0,0.109090909,0.0,1,4,0.0,0.0,0,55,1,0,1,0.0,0,7,18,0,8,4.0,5,1,0.0,0.0,4.0,1033,0,3,0,1,0
0,4011,9,178,86.66666667,0,0.0,0.22,3,2,0.0,0.280898876,0,25,0,0,0,0.0,0,2,16,0,0,0.0,3,0,0.719101124,25.0,6.0,0,1,3,0,0,0
0,3480,12,16,100.0,0,0.0,1.0,3,4,0.0,0.125,1,59,1,0,1,0.0,1,0,20,0,7,5.0,4,0,0.875,33.33333333,7.5,0,1,3,1,0,0
0,7202,12,28,100.0,0,0.0,0.142857143,3,2,0.142857143,0.75,0,31,1,0,1,0.0,0,2,23,0,0,0.0,3,0,0.25,4.545454545,9.0,461958,0,6,0,0,1
0,4843,22,0,0.0,0,0.114583333,0.0,5,3,0.0,0.0,2,96,0,0,1,0.0,1,5,7,0,22,5.666666667,3,0,0.0,0.0,4.0,9602,1,4,1,0,1
0,7391,12,17,100.0,0,0.0,0.166666667,4,2,0.0,0.705882353,0,27,0,0,0,0.0,0,3,19,0,0,0.0,3,0,0.294117647,7.692307692000001,7.5,8675232,1,3,0,0,0
0,-1,9,132,82.35294118,0,0.0,0.076923077,4,3,0.0,0.098484848,0,44,1,0,1,0.0,0,4,17,1,9,5.333333333,4,0,0.901515152,80.64516129,6.0,219669,1,3,0,0,0
0,5005,10,13,50.0,0,0.0,0.0,3,2,0.125,0.615384615,0,47,1,0,0,0.0,0,3,18,0,7,5.666666667,6,0,0.384615385,33.33333333,6.5,0,1,3,0,0,0
0,7299,11,57,25.0,0,0.0,0.142857143,1,2,0.0,0.614035088,0,32,0,0,1,0.0,0,5,24,0,0,0.0,3,0,0.3859649120000001,64.0,9.5,33345,0,8,0,0,0
0,3029,11,14,60.0,0,0.0,0.0,3,2,0.0,0.5,0,46,0,0,0,0.0,0,4,17,0,11,9.5,4,0,0.5,100.0,6.0,2349295,1,3,0,1,0
0,12471,12,267,92.0,0,0.0,0.727272727,0,2,0.0,0.041198502,0,56,0,0,1,0.0,0,5,18,0,12,9.333333333,4,0,0.958801498,61.9047619,6.5,5469,0,4,0,0,0
0,-1,7,4,100.0,0,0.0,0.0,0,1,0.0,0.0,0,21,1,0,1,0.0,0,0,12,0,0,0.0,3,0,1.0,100.0,7.0,0,0,7,0,0,1
0,-1,9,80,91.66666667,0,0.0,0.0,5,2,0.0,0.05,0,50,1,0,1,0.0,0,5,15,0,9,5.75,5,0,0.95,100.0,5.0,891330,1,3,0,1,0
0,5614,18,21,0.0,0,0.264150943,0.176470588,2,4,0.0,0.80952381,0,53,1,1,1,0.4,0,5,35,0,5,4.0,4,0,0.19047619,25.0,7.0,0,0,1,0,0,1
0,5613,7,4,50.0,0,0.088235294,0.0,3,4,0.0,0.25,0,68,1,0,1,0.101694915,0,5,59,0,0,0.0,3,0,0.75,0.0,4.090909091,7198650,0,1,0,0,1
0,3772,13,62,45.45454545,0,0.0,0.434782609,3,2,0.086956522,0.370967742,0,45,0,0,1,0.0,0,4,21,0,8,6.5,5,0,0.629032258,16.66666667,8.0,35245,1,3,0,0,0
0,6663,8,103,81.81818182,0,0.068965517,0.285714286,1,2,0.0,0.067961165,0,29,1,0,1,0.095238095,0,0,21,0,0,0.0,3,0,0.932038835,0.0,5.333333333,1428403,0,4,0,1,1
